	run	hidden_size	nlayers	dropout	embedding_size	alpha	max_rank	shuffle_labels	shuffle_input	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	train_norm	dev_norm	test_norm	train_rank	dev_rank	test_rank	representation	model	language
28	28	268	4	0.37	768	0.15523222650918542	0	False	False	4.539	4.1398	4.1496	0.2672	0.3033	0.33	3.4197	3.4197	3.4197	709.0	709.0	709.0	bert	linear	english
29	29	270	0	0.04	768	0.1872883846095852	0	False	False	4.5393	4.1396	4.1494	0.2349	0.2497	0.2477	3.4332	3.4332	3.4332	712.0	712.0	712.0	bert	linear	english
30	30	596	0	0.43	768	0.22596428459777515	0	False	False	4.54	4.1403	4.1501	0.2434	0.2835	0.2777	3.2805	3.2805	3.2805	709.0	709.0	709.0	bert	linear	english
31	31	694	3	0.18	768	0.2726269331663144	0	False	False	4.5341	4.1334	4.143	0.191	0.229	0.2462	3.3474	3.3474	3.3474	715.0	715.0	715.0	bert	linear	english
32	32	837	4	0.09	768	0.32892563008340914	0	False	False	4.5342	4.1335	4.143	0.2132	0.2446	0.2583	3.2572	3.2572	3.2572	711.0	711.0	711.0	bert	linear	english
33	33	487	0	0.14	768	0.3968502629920497	0	False	False	4.5342	4.1335	4.143	0.1854	0.2154	0.2336	3.3041	3.3041	3.3041	718.0	718.0	718.0	bert	linear	english
34	34	418	5	0.37	768	0.4788016403492869	0	False	False	4.5404	4.1406	4.1505	0.1495	0.1669	0.1856	3.2495	3.2495	3.2495	715.0	715.0	715.0	bert	linear	english
35	35	407	5	0.35000000000000003	768	0.577676348436136	0	False	False	4.5342	4.1335	4.1431	0.2077	0.25	0.2584	3.1741	3.1741	3.1741	716.0	716.0	716.0	bert	linear	english
36	36	657	2	0.11	768	0.6969691317244994	0	False	False	4.5343	4.1336	4.1431	0.164	0.1958	0.1965	3.2373	3.2373	3.2373	715.0	715.0	715.0	bert	linear	english
37	37	442	1	0.41	768	0.8408964152537145	0	False	False	4.5343	4.1336	4.1431	0.1492	0.1799	0.1899	3.1665	3.1665	3.1665	717.0	717.0	717.0	bert	linear	english
38	38	398	4	0.23	768	1.0145453349375229	0	False	False	4.5344	4.1337	4.1432	0.1166	0.1511	0.1443	3.1275	3.1275	3.1275	718.0	718.0	718.0	bert	linear	english
39	39	369	4	0.29	768	1.2240535433046549	0	False	False	4.5343	4.1336	4.1431	0.1429	0.1704	0.1723	3.1129	3.1129	3.1129	721.0	721.0	721.0	bert	linear	english
40	40	75	4	0.33	768	1.4768261459394991	0	False	False	4.5343	4.1336	4.1431	0.1444	0.1804	0.1884	3.104	3.104	3.104	726.0	726.0	726.0	bert	linear	english
41	41	179	0	0.02	768	1.7817974362806772	0	False	False	4.5343	4.1336	4.1431	0.1626	0.2018	0.2049	3.0831	3.0831	3.0831	714.0	714.0	714.0	bert	linear	english
42	42	442	4	0.19	768	2.1497466798413916	0	False	False	4.5343	4.1336	4.1431	0.1843	0.2194	0.2295	3.0264	3.0264	3.0264	721.0	721.0	721.0	bert	linear	english
43	43	111	1	0.22	768	2.5936791093020197	0	False	False	4.5343	4.1336	4.1431	0.162	0.1971	0.2034	3.0219	3.0219	3.0219	730.0	730.0	730.0	bert	linear	english
0	0	776	0	0.15	300	0.0	1	False	False	2.8283	2.762	2.7672	0.5105	0.4978	0.5099	2944.8569	2944.8569	2944.8569	300.0	300.0	300.0	fast	linear	english
1	1	433	2	0.27	300	0.0009765625	0	False	False	3.3425	3.0429	3.0413	0.355	0.387	0.4006	162.3076	162.3076	162.3076	268.0	268.0	268.0	fast	linear	english
2	2	310	5	0.5	300	0.0011782270808598852	0	False	False	3.5471	3.2321	3.2315	0.323	0.3529	0.3681	110.9697	110.9697	110.9697	278.0	278.0	278.0	fast	linear	english
3	3	300	1	0.44	300	0.001421536311369323	0	False	False	3.5196	3.204	3.2041	0.3204	0.3498	0.3645	103.0134	103.0134	103.0134	270.0	270.0	270.0	fast	linear	english
4	4	1009	2	0.1	300	0.0017150900003645502	0	False	False	3.3333	3.0281	3.0299	0.3384	0.3756	0.3863	119.9293	119.9293	119.9293	248.0	248.0	248.0	fast	linear	english
5	5	657	3	0.5	300	0.0020692638561704995	0	False	False	3.6226	3.2981	3.3009	0.3028	0.3321	0.3459	72.5252	72.5252	72.5252	268.0	268.0	268.0	fast	linear	english
6	6	455	2	0.49	300	0.0024965762178914648	0	False	False	3.642	3.3144	3.3181	0.297	0.3247	0.3414	63.4861	63.4861	63.4861	261.0	261.0	261.0	fast	linear	english
7	7	103	1	0.44	300	0.0030121305183748843	0	False	False	3.6321	3.3035	3.308	0.2945	0.3233	0.3387	57.8724	57.8724	57.8724	254.0	254.0	254.0	fast	linear	english
8	8	203	4	0.05	300	0.0036341491177818244	0	False	False	3.4512	3.1351	3.1404	0.3054	0.3407	0.3476	68.0096	68.0096	68.0096	236.0	236.0	236.0	fast	linear	english
9	9	150	4	0.02	300	0.004384617376208487	0	False	False	3.4754	3.1571	3.1635	0.3014	0.3372	0.3438	60.9966	60.9966	60.9966	232.0	232.0	232.0	fast	linear	english
10	10	72	3	0.23	300	0.005290060730222237	0	False	False	3.6072	3.2762	3.285	0.2871	0.3218	0.327	45.9232	45.9232	45.9232	234.0	234.0	234.0	fast	linear	english
11	11	467	3	0.31	300	0.006382482239223045	0	False	False	3.6742	3.3385	3.3483	0.2815	0.3145	0.3241	39.6056	39.6056	39.6056	234.0	234.0	234.0	fast	linear	english
12	12	377	0	0.37	300	0.007700493739376463	0	False	False	3.7386	3.3964	3.4077	0.2766	0.3102	0.3199	34.4762	34.4762	34.4762	233.0	233.0	233.0	fast	linear	english
13	13	436	2	0.25	300	0.009290680585958758	0	False	False	3.7142	3.3749	3.3869	0.2759	0.3086	0.3207	32.8818	32.8818	32.8818	228.0	228.0	228.0	fast	linear	english
14	14	382	2	0.41	300	0.011209248221179687	0	False	False	3.8318	3.4826	3.4968	0.2646	0.3012	0.3082	27.3523	27.3523	27.3523	230.0	230.0	230.0	fast	linear	english
15	15	326	3	0.09	300	0.01352400876572098	0	False	False	3.7429	3.3981	3.4114	0.2717	0.3074	0.3183	28.3525	28.3525	28.3525	227.0	227.0	227.0	fast	linear	english
16	16	326	2	0.02	300	0.01631677785042834	0	False	False	3.7766	3.4287	3.4427	0.2703	0.3092	0.3228	25.8188	25.8188	25.8188	226.0	226.0	226.0	fast	linear	english
17	17	247	2	0.15	300	0.01968626640460739	0	False	False	3.8776	3.525	3.5417	0.2546	0.2956	0.3105	20.8983	20.8983	20.8983	229.0	229.0	229.0	fast	linear	english
18	18	179	1	0.01	300	0.02375156961170491	0	False	False	3.8935	3.5376	3.5548	0.253	0.2953	0.3075	19.8046	19.8046	19.8046	225.0	225.0	225.0	fast	linear	english
19	19	137	5	0.3	300	0.028656376350145975	0	False	False	4.0278	3.6637	3.6837	0.2427	0.2885	0.2999	16.1843	16.1843	16.1843	225.0	225.0	225.0	fast	linear	english
20	20	786	2	0.24	300	0.03457404790277603	0	False	False	4.0533	3.6901	3.7108	0.2429	0.2899	0.2991	15.2306	15.2306	15.2306	227.0	227.0	227.0	fast	linear	english
21	21	410	1	0.49	300	0.04171374544281356	0	False	False	4.2208	3.8532	3.8767	0.2388	0.2811	0.2897	12.4495	12.4495	12.4495	227.0	227.0	227.0	fast	linear	english
22	22	388	0	0.48	300	0.0503278228734142	0	False	False	4.281	3.912	3.9363	0.2378	0.2799	0.288	11.3571	11.3571	11.3571	230.0	230.0	230.0	fast	linear	english
23	23	38	2	0.4	300	0.06072074632210035	0	False	False	4.315	3.9484	3.9731	0.2373	0.2792	0.2884	10.5807	10.5807	10.5807	228.0	228.0	228.0	fast	linear	english
24	24	467	2	0.11	300	0.07325985555120318	0	False	False	4.3122	3.9457	3.9703	0.2397	0.2814	0.2921	10.3999	10.3999	10.3999	229.0	229.0	229.0	fast	linear	english
25	25	176	4	0.05	300	0.08838834764831845	0	False	False	4.4073	4.0378	4.0633	0.2371	0.2794	0.2915	9.2576	9.2576	9.2576	237.0	237.0	237.0	fast	linear	english
26	26	57	4	0.0	300	0.10664094190766783	0	False	False	4.5241	4.1507	4.177	0.2321	0.2745	0.2861	8.0479	8.0479	8.0479	235.0	235.0	235.0	fast	linear	english
27	27	968	3	0.22	300	0.12866277958043645	0	False	False	4.717	4.3374	4.3645	0.2241	0.264	0.2732	6.4831	6.4831	6.4831	245.0	245.0	245.0	fast	linear	english
28	28	268	4	0.37	300	0.15523222650918542	0	False	False	4.9182	4.5316	4.5589	0.2159	0.2536	0.2663	5.1482	5.1482	5.1482	237.0	237.0	237.0	fast	linear	english
29	29	270	0	0.04	300	0.1872883846095852	0	False	False	5.0197	4.6291	4.656	0.2091	0.2433	0.2547	4.5544	4.5544	4.5544	239.0	239.0	239.0	fast	linear	english
30	30	596	0	0.43	300	0.22596428459777515	0	False	False	5.3173	4.9051	4.9304	0.1987	0.2292	0.2429	3.2004	3.2004	3.2004	249.0	249.0	249.0	fast	linear	english
31	31	694	3	0.18	300	0.2726269331663144	0	False	False	5.4801	5.0602	5.0839	0.1851	0.2129	0.2263	2.5302	2.5302	2.5302	244.0	244.0	244.0	fast	linear	english
32	32	837	4	0.09	300	0.32892563008340914	0	False	False	5.742	5.3095	5.3298	0.1625	0.1841	0.1984	1.6624	1.6624	1.6624	243.0	243.0	243.0	fast	linear	english
33	33	487	0	0.14	300	0.3968502629920497	0	False	False	5.9168	5.4917	5.5093	0.1528	0.1608	0.1783	9.1064	9.1064	9.1064	266.0	266.0	266.0	fast	linear	english
34	34	418	5	0.37	300	0.4788016403492869	0	False	False	5.958	5.5314	5.5483	0.149	0.1582	0.1737	8.9528	8.9528	8.9528	264.0	264.0	264.0	fast	linear	english
35	35	407	5	0.35000000000000003	300	0.577676348436136	0	False	False	5.9877	5.56	5.5764	0.1437	0.1539	0.1656	8.8579	8.8579	8.8579	264.0	264.0	264.0	fast	linear	english
36	36	657	2	0.11	300	0.6969691317244994	0	False	False	6.0082	5.5798	5.5958	0.1361	0.1459	0.1576	8.804	8.804	8.804	265.0	265.0	265.0	fast	linear	english
37	37	442	1	0.41	300	0.8408964152537145	0	False	False	6.0228	5.5939	5.6097	0.1319	0.1403	0.1484	8.7574	8.7574	8.7574	265.0	265.0	265.0	fast	linear	english
38	38	398	4	0.23	300	1.0145453349375229	0	False	False	6.0331	5.6038	5.6193	0.1293	0.1391	0.1419	8.7208	8.7208	8.7208	264.0	264.0	264.0	fast	linear	english
39	39	369	4	0.29	300	1.2240535433046549	0	False	False	6.0401	5.6105	5.6259	0.1243	0.135	0.1384	8.7192	8.7192	8.7192	265.0	265.0	265.0	fast	linear	english
40	40	75	4	0.33	300	1.4768261459394991	0	False	False	6.0447	5.615	5.6303	0.1236	0.137	0.1375	8.6881	8.6881	8.6881	263.0	263.0	263.0	fast	linear	english
41	41	179	0	0.02	300	1.7817974362806772	0	False	False	6.0482	5.6184	5.6336	0.1205	0.1324	0.1389	8.6904	8.6904	8.6904	265.0	265.0	265.0	fast	linear	english
42	42	442	4	0.19	300	2.1497466798413916	0	False	False	6.0507	5.6207	5.636	0.1198	0.1357	0.1412	8.6778	8.6778	8.6778	264.0	264.0	264.0	fast	linear	english
43	43	111	1	0.22	300	2.5936791093020197	0	False	False	6.0524	5.6224	5.6376	0.1111	0.1241	0.1275	8.6811	8.6811	8.6811	266.0	266.0	266.0	fast	linear	english
44	44	242	1	0.45	300	3.1292855968155457	0	False	False	6.0537	5.6237	5.6388	0.1121	0.1275	0.1347	8.683	8.683	8.683	265.0	265.0	265.0	fast	linear	english
45	45	107	3	0.21	300	3.775497250726772	0	False	False	6.0549	5.6247	5.6399	0.109	0.1231	0.1316	8.6767	8.6767	8.6767	264.0	264.0	264.0	fast	linear	english
46	46	150	2	0.2	300	4.555154539026766	0	False	False	6.0558	5.6256	5.6407	0.1082	0.1223	0.1305	8.6689	8.6689	8.6689	265.0	265.0	265.0	fast	linear	english
47	47	38	1	0.2	300	5.495814589832351	0	False	False	6.0564	5.6262	5.6413	0.104	0.1206	0.1281	8.6631	8.6631	8.6631	265.0	265.0	265.0	fast	linear	english
48	48	248	1	0.49	300	6.6307252030723465	0	False	False	6.0571	5.6269	5.642	0.1041	0.1163	0.1223	8.67	8.67	8.67	264.0	264.0	264.0	fast	linear	english
49	49	670	0	0.45	300	8.0	0	False	False	6.0575	5.6273	5.6423	0.1017	0.1153	0.1199	8.6687	8.6687	8.6687	264.0	264.0	264.0	fast	linear	english
0	0	776	0	0.15	212	0.0	1	False	False	2.3108	3.0609	3.0796	0.6218	0.4639	0.4682	908.5368	908.5368	908.5368	212.0	212.0	212.0	onehot	linear	english
1	1	433	2	0.27	103	0.0009765625	0	False	False	2.5382	3.0975	3.1102	0.5592	0.4369	0.4435	78.3357	78.3357	78.3357	93.0	93.0	93.0	onehot	linear	english
2	2	310	5	0.5	113	0.0011782270808598852	0	False	False	2.621	3.0824	3.0955	0.5411	0.4368	0.4482	47.9503	47.9503	47.9503	103.0	103.0	103.0	onehot	linear	english
3	3	300	1	0.44	99	0.001421536311369323	0	False	False	2.6511	3.1106	3.102	0.532	0.428	0.4476	40.3477	40.3477	40.3477	89.0	89.0	89.0	onehot	linear	english
4	4	1009	2	0.1	148	0.0017150900003645502	0	False	False	2.6748	3.161	3.1728	0.5162	0.4121	0.4248	65.7906	65.7906	65.7906	123.0	123.0	123.0	onehot	linear	english
5	5	657	3	0.5	165	0.0020692638561704995	0	False	False	2.7141	3.0822	3.1044	0.5143	0.4276	0.4314	38.0514	38.0514	38.0514	147.0	147.0	147.0	onehot	linear	english
6	6	455	2	0.49	60	0.0024965762178914648	0	False	False	2.7415	3.1705	3.1702	0.5106	0.4121	0.4283	24.2138	24.2138	24.2138	52.0	52.0	52.0	onehot	linear	english
7	7	103	1	0.44	84	0.0030121305183748843	0	False	False	2.7393	3.1442	3.1554	0.5099	0.4188	0.4285	25.7563	25.7563	25.7563	69.0	69.0	69.0	onehot	linear	english
8	8	203	4	0.05	238	0.0036341491177818244	0	False	False	2.8142	3.1909	3.1848	0.4826	0.3987	0.4052	49.5669	49.5669	49.5669	184.0	184.0	184.0	onehot	linear	english
9	9	150	4	0.02	122	0.004384617376208487	0	False	False	2.8124	3.2225	3.222	0.4833	0.3975	0.4107	40.5871	40.5871	40.5871	87.0	87.0	87.0	onehot	linear	english
10	10	72	3	0.23	144	0.005290060730222237	0	False	False	2.8624	3.1899	3.1891	0.4758	0.3986	0.4076	30.5364	30.5364	30.5364	104.0	104.0	104.0	onehot	linear	english
11	11	467	3	0.31	79	0.006382482239223045	0	False	False	2.8653	3.2137	3.2262	0.4821	0.4011	0.4108	20.8804	20.8804	20.8804	53.0	53.0	53.0	onehot	linear	english
12	12	377	0	0.37	159	0.007700493739376463	0	False	False	2.8793	3.1661	3.1752	0.4798	0.4116	0.4172	23.4876	23.4876	23.4876	114.0	114.0	114.0	onehot	linear	english
13	13	436	2	0.25	154	0.009290680585958758	0	False	False	2.8841	3.1698	3.1682	0.4757	0.4026	0.4155	23.7228	23.7228	23.7228	105.0	105.0	105.0	onehot	linear	english
14	14	382	2	0.41	148	0.011209248221179687	0	False	False	2.9109	3.1805	3.1921	0.4752	0.3947	0.4162	19.1597	19.1597	19.1597	100.0	100.0	100.0	onehot	linear	english
15	15	326	3	0.09	115	0.01352400876572098	0	False	False	2.8989	3.1912	3.2045	0.4735	0.4065	0.4132	20.5704	20.5704	20.5704	70.0	70.0	70.0	onehot	linear	english
16	16	326	2	0.02	124	0.01631677785042834	0	False	False	2.9011	3.203	3.214	0.4723	0.4104	0.4185	19.2526	19.2526	19.2526	77.0	77.0	77.0	onehot	linear	english
17	17	247	2	0.15	240	0.01968626640460739	0	False	False	2.9242	3.1886	3.1962	0.4723	0.409	0.42	17.2424	17.2424	17.2424	180.0	180.0	180.0	onehot	linear	english
